session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4820,2922,27.3,27.3,27.3,27.3,0,0.0,0.0,0,0,0,0.0,27.3,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,12,583345000000.0
4819,2922,27.3,27.3,27.3,27.3,0,0.0,0.0,0,0,0,0.0,27.3,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,15,661932000000.0
4818,2922,27.3,27.3,27.3,27.3,0,0.0,0.0,0,0,0,0.0,27.3,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,16,513633000000.0
4817,2922,31.3,31.3,31.3,31.3,190,0.0,0.0,0,0,0,5947000.0,31.3,4.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,17,596787000000.0
session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2922,35.9,35.9,35.9,35.9,100,0.0,0.0,0,0,0,3590000.0,35.9,4.6,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,18,452755000000.0
4815,2922,35.9,35.9,35.9,35.9,23,0.0,0.0,0,0,0,947600.0,35.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,19,610612000000.0
4814,2922,41.2,41.2,41.2,41.2,105,0.0,0.0,0,0,0,4326000.0,41.2,5.3,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,22,541384000000.0
4813,2922,47.3,47.3,47.3,47.3,101,0.0,0.0,0,0,0,4777300.0,47.3,6.1,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,23,589042000000.0
4812,2922,54.3,54.3,54.3,54.3,201,0.0,0.0,0,0,0,10914300.0,54.3,7.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,24,417134000000.0
4811,2922,62.4,62.4,62.4,62.4,701,0.0,0.0,0,0,0,43742400.0,62.4,8.1,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,25,457573000000.0
4810,2922,62.4,62.4,62.4,62.4,0,0.0,0.0,0,0,0,0.0,62.4,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,26,867663000000.0
4809,2922,71.7,71.7,71.7,71.7,100,0.0,0.0,0,0,0,7170000.0,71.7,9.3,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,29,598726000000.0
4808,2922,82.4,82.4,82.4,82.4,100,0.0,0.0,0,0,0,8240000.0,82.4,10.7,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,30,797759000000.0
4807,2922,94.7,94.7,94.7,94.7,500,0.0,0.0,0,0,0,47350000.0,94.7,12.3,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,5,31,860345000000.0
4806,2922,108.9,108.9,108.9,108.9,605,0.0,0.0,0,0,0,65884500.0,108.9,14.2,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,1,784243000000.0
4805,2922,125.0,125.0,125.0,125.0,100,0.0,0.0,0,0,0,12500000.0,125.0,16.1,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,2,911677000000.0
4804,2922,143.7,143.7,143.7,143.7,100,0.0,0.0,0,0,0,14370000.0,143.7,18.7,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,5,850691000000.0
4803,2922,165.2,165.2,165.2,165.2,700,0.0,0.0,0,0,0,115640000.0,165.2,21.5,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,6,735226000000.0
4802,2922,165.2,165.2,165.2,165.2,5,0.0,0.0,0,0,0,949500.0,165.2,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,7,779549000000.0
4801,2922,189.9,189.9,189.9,189.9,100,0.0,0.0,0,0,0,18990000.0,189.9,24.7,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,8,972083000000.0
4800,2922,189.9,189.9,189.9,189.9,0,0.0,0.0,0,0,0,0.0,189.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,9,784155000000.0
4799,2922,218.3,218.3,218.3,218.3,700,0.0,0.0,0,0,0,152810000.0,218.3,28.4,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,12,637523000000.0
4798,2922,218.3,218.3,218.3,218.3,0,0.0,0.0,0,0,0,0.0,218.3,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,14,763309000000.0
4797,2922,251.0,251.0,251.0,251.0,600,0.0,0.0,0,0,0,150600000.0,251.0,32.7,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,15,619574000000.0
4796,2922,288.6,288.6,288.6,288.6,1515,0.0,0.0,0,0,0,436853000.0,288.6,37.6,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,16,897713000000.0
4795,2922,331.8,331.8,331.8,331.8,400,0.0,0.0,0,0,0,132720000.0,331.8,43.2,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,19,554708000000.0
4794,2922,381.5,381.5,381.5,381.5,1800,0.0,0.0,0,0,0,686700000.0,381.5,49.7,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,20,557490000000.0
4793,2922,438.7,438.7,438.7,438.7,100,0.0,0.0,0,0,0,43870000.0,438.7,57.2,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,21,817903000000.0
4792,2922,504.5,504.5,504.5,504.5,400,0.0,0.0,0,0,0,201800000.0,504.5,65.8,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,22,833329000000.0
4791,2922,580.1,580.1,580.1,580.1,200,0.0,0.0,0,0,0,116020000.0,580.1,75.6,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,23,847219000000.0
4790,2922,667.1,667.1,667.1,667.1,300,0.0,0.0,0,0,0,200130000.0,667.1,87.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,26,860095000000.0
4789,2922,767.1,767.1,767.1,767.1,510,0.0,0.0,0,0,0,391221000.0,767.1,100.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,27,567850000000.0
4788,2922,882.1,882.1,882.1,882.1,500,0.0,0.0,0,0,0,441050000.0,882.1,115.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,28,659102000000.0
4787,2922,999.9,999.9,999.9,999.9,305,0.0,0.0,0,0,0,304984000.0,999.9,117.8,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,29,666695000000.0
4786,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,6,30,543269000000.0
4785,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,3,477651000000.0
4784,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,4,638481000000.0
4783,2922,999.9,999.9,999.9,999.9,1,0.0,0.0,0,0,0,850000.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,5,701030000000.0
4782,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,6,637903000000.0
4781,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,7,729580000000.0
4780,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,10,1270370000000.0
4779,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,11,779753000000.0
4778,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,12,885074000000.0
4777,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,13,793503000000.0
4776,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,14,907996000000.0
4775,2922,999.9,999.9,999.9,999.9,1,0.0,0.0,0,0,0,850000.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,17,838562000000.0
4774,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,18,673486000000.0
4773,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,19,739111000000.0
4772,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,20,602157000000.0
4771,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,21,778375000000.0
4770,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,24,1006820000000.0
4769,2922,999.9,999.9,999.9,999.9,1,0.0,0.0,0,0,0,850000.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,25,912745000000.0
4768,2922,999.9,999.9,999.9,999.9,10,0.0,0.0,0,0,0,8500000.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,26,742424000000.0
4767,2922,999.9,999.9,999.9,999.9,2,0.0,0.0,0,0,0,1700000.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,28,826488000000.0
4766,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,7,31,1269880000000.0
4765,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,3,1013090000000.0
4764,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,4,1247860000000.0
4763,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,7,1143560000000.0
4762,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,8,1123310000000.0
4761,2922,999.9,999.9,999.9,999.9,0,0.0,0.0,0,0,0,0.0,999.9,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,9,1068850000000.0
4760,2922,600.0,600.0,600.0,600.0,200,0.0,0.0,0,0,0,120000000.0,600.0,-399.9,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,10,1109030000000.0
4759,2922,600.0,600.0,600.0,600.0,42,0.0,0.0,0,0,0,21420000.0,600.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,11,1164620000000.0
4758,2922,600.0,600.0,600.0,600.0,13,0.0,0.0,0,0,0,6900000.0,600.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,14,877663000000.0
4757,2922,510.0,510.0,510.0,510.0,107,0.0,0.0,0,0,0,54570000.0,510.0,-90.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,15,859845000000.0
4756,2922,510.0,510.0,510.0,510.0,1,0.0,0.0,0,0,0,433500.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,16,851752000000.0
4755,2922,510.0,510.0,510.0,510.0,2,0.0,0.0,0,0,0,867000.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,17,981925000000.0
4754,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,18,1755080000000.0
4753,2922,510.0,510.0,510.0,510.0,21,0.0,0.0,0,0,0,9103500.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,21,687691000000.0
4752,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,22,619428000000.0
4751,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,23,428211000000.0
4750,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,24,575149000000.0
4749,2922,510.0,510.0,510.0,510.0,6,0.0,0.0,0,0,0,2601000.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,25,647039000000.0
4748,2922,510.0,510.0,510.0,510.0,6,0.0,0.0,0,0,0,2601000.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,28,576712000000.0
4747,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,29,772956000000.0
4746,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,30,586790000000.0
4745,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,8,31,730119000000.0
4744,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,5,825245000000.0
4743,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,6,1223680000000.0
4742,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,7,964664000000.0
4741,2922,510.0,510.0,510.0,510.0,1,0.0,0.0,0,0,0,433500.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,8,1066720000000.0
4740,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,11,1221320000000.0
4739,2922,510.0,510.0,510.0,510.0,1,0.0,0.0,0,0,0,433500.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,12,866340000000.0
4738,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,13,1392960000000.0
4737,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,14,1011600000000.0
4736,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,15,868760000000.0
4735,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,18,761763000000.0
4734,2922,510.0,510.0,510.0,510.0,0,0.0,0.0,0,0,0,0.0,510.0,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,19,738083000000.0
4733,2922,433.5,433.5,433.5,433.5,100,0.0,0.0,0,0,0,43350000.0,433.5,-76.5,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,20,757616000000.0
4732,2922,433.5,433.5,433.5,433.5,2,0.0,0.0,0,0,0,737000.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,21,1122400000000.0
4731,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,22,1367230000000.0
4730,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,25,1140200000000.0
4729,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,26,857658000000.0
4728,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,27,855741000000.0
4727,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,28,751249000000.0
4726,2922,433.5,433.5,433.5,433.5,1,0.0,0.0,0,0,0,368500.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,9,29,536271000000.0
4725,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,2,553845000000.0
4724,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,3,980988000000.0
4723,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,4,546843000000.0
4722,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,5,584652000000.0
4721,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,6,513676000000.0
4720,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,9,529047000000.0
4719,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,10,692166000000.0
4718,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,11,586007000000.0
4717,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,12,561842000000.0
4716,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,13,624944000000.0
4715,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,16,713124000000.0
4714,2922,433.5,433.5,433.5,433.5,0,0.0,0.0,0,0,0,0.0,433.5,0.0,0,Công ty TNHH Một thành viên Xây dựng Công trình Tân Cảng,XDC,UPCOM,2022-12-01,2023-12-28,0.0,,2023,10,17,752963000000.0
